timestamp,tweet,cleaned_tweet,sentiment
01-05-2025 13:00,"The grift comes full circle. Musk took a $465M government loan to build Tesla—now he’s using DOGE to kill off the very office that helped him succeed—because it might help the next innovator, him. This isn’t “efficiency”. It’s sabotage!",,
02-05-2025 13:05,Tesla’s new battery tech is amazing!,,
02-05-2025 13:10,"Tesla stock dropped 5% today, not good.",,
02-05-2025 13:15,"Saw a Tesla Cybertruck in person, looks cool.",,
2025-05-02 14:44 PM,I don’t hate Tesla but I love oil,,
2025-05-02 14:44 PM,I don’t hate Tesla but I love oil,,
2025-05-02 14:45 PM,All your arguments are what Tesla has tried to portray.,,
2025-05-02 14:45 PM,Ok, I don't think you understand what critical thinking is.,
2025-05-02 14:45 PM,0% APR is needed on all Cybertrucks ,,
2025-05-02 14:46 PM,I would bet it is a political thing. The leftists have to manufacture crisis to be relavent.,,
2025-05-02 14:48 PM,U.S. media enjoys strong First Amendment protections, and proving malice or direct causation is tough,
2025-05-02 14:49 PM,I’ll entertain you. The Tesla bs hasn’t even been seen by a judge yet. So you can’t confirm nor deny that. With the home appraisals to study to place in black neighborhoods, white neighborhood, black neighborhoods had more crime rates…and don’t get me started on black names
2025-05-02 14:49 PM,Yes. Two month ago I bought a Tesla for my wife as a support of Elon .,,
2025-05-02 14:50 PM,The mapping/routing software could be improved a lot. I wonder if the robotaxi will include the same mapping ,,
2025-05-02 14:50 PM,I want to promote Tesla products. ,,
2025-05-02 14:53 PM,I don’t hate Tesla but I love oil,,
2025-05-02 14:57 PM,Left wing rage also gave us Tesla firebombing so let’s not pretend the left is somehow less violent,,
2025-05-02 14:57 PM,The car was on fire with him trapped inside.If there wasn't a chip in the glass they wouldn't have been able to create space in the window to pull him out from...He would have been trapped in a Tesla oven.,,
2025-05-02 14:59 PM,Off all the Tesla owners I know, less than half of them use FSD. I am also dumbfounded by this statistic. They are missing out on SO MUCH,
